typecode,typename,agency_code,agency_name,1912_y,1913_y,1914_y,1915_y
I,Обыкновенные расходы,40100,Министерство Императорскаго Двора,16359595,16359595,16359595,16359595
I,Обыкновенные расходы,40200,Высшiя государственныя учрежденiя,8147511,9213214,8316955,8830180
I,Обыкновенные расходы,40201,Государственный Советъ,2009138,1979971,1935426,1906754
I,Обыкновенные расходы,40202,Государственная Дума,2783285,3403935,2799601,2787778
I,Обыкновенные расходы,40203,Государственная канцелярiя,1880672,1957117,2106253,2257443
I,Обыкновенные расходы,40204,Канцелярiя Совета Министровъ,202357,202357,202851,274281
I,Обыкновенные расходы,40205,Собственная его Императорскаго величества канцелярiя,741703,741703,741242,741242
I,Обыкновенные расходы,40206,Канцелярiя его Императорского величества по принятию прошений,530356,530356,531582,862682
I,Обыкновенные расходы,40300,Ведомство Святейшаго Синода,40129979,44219759,53093225,52564695
I,Обыкновенные расходы,40400,Министерство Внутреннихъ Делъ,172393990,182303677,206539550,202822682
I,Обыкновенные расходы,40401,По общей части,99129513,100634177,118044624,117024662
I,Обыкновенные расходы,40402,По почтово-телеграфной части,73264477,79865440,88494926,85798020
I,Обыкновенные расходы,40500,Министерство Финансовъ,426860974,453699561,498163110,356870948
I,Обыкновенные расходы,40501,Общая Канцелярiя Министра Финансов,478802,400258,412385,391416
I,Обыкновенные расходы,40502,Департаментъ Государственнаго Казначейства,131134814,145368106,148745376,152436996
I,Обыкновенные расходы,40503,Департаментъ Окладныхъ Сборовъ,15433754,28122495,21728437,19128140
I,Обыкновенные расходы,40504,Главное Управленiе Неокладныхъ Сборовъ и Казенн. Продажи Питей,215588516,244578098,265995316,125331666
I,Обыкновенные расходы,40505,Департаментъ Таможенныхъ Сборовъ,10601336,12753958,12669494,11743106
I,Обыкновенные расходы,40506,Управленiе Отдельнаго Корпуса Пограничной Стражи,14918531,15432322,15544593,14092530
I,Обыкновенные расходы,40507,Департаментъ Железнодорожныхъ Делъ,15376394,11455851,9982803,12418295
I,Обыкновенные расходы,40508,Особенная Канцелярiя по Кредитной Части,23328827,23610181,23084706,21328799
I,Обыкновенные расходы,40600,Министерство Юстицiи,82616422,89460491,104909299,101483584
I,Обыкновенные расходы,40601,По общей части,48876163,52273961,63616837,62305375
I,Обыкновенные расходы,40602,По тюремной части,33740259,36375574,41292462,39178209
I,Обыкновенные расходы,40700,Министерство Иностранныхъ Делъ,6569190,7279295,7774727,7790288
I,Обыкновенные расходы,40800,Министерство Народнаго Просвященiя,117537360,136734476,169579399,158915227
I,Обыкновенные расходы,40900,Министерство Путей Сообщенiя,553615641,649609650,719088846,707494702
I,Обыкновенные расходы,40901,Канцелярiя Министра Путей Сообщенiя,3128458,3344146,3853715,2602190
I,Обыкновенные расходы,40902,Управленiе Внутреннихъ Водныхъ Путей и Шоссейныхъ Дорогъ,34012665,42100329,48932694,42568367
I,Обыкновенные расходы,40903,Управленiе Железныхъ Дорогъ,516474518,593967124,666302437,662324145
I,Обыкновенные расходы,41000,Министерство Торговли и Промышленности,49235728,59539776,70892569,54607378
I,Обыкновенные расходы,41001,По общей части,6250918,9230240,11501723,8616505
I,Обыкновенные расходы,41002,Горный Департаментъ,25904272,29240606,34129663,29592915
I,Обыкновенные расходы,41003,По части торговаго мореплаванiя и портовъ,17080538,22187930,25261183,16397958
I,Обыкновенные расходы,41100,Главное управление Землеуйстройства и Земледенлiя,116635647,135502984,157520349,143497372
I,Обыкновенные расходы,41101,Канцелярiя Главноуправляющего Землеустройствомъ и Земледелиемъ,3229594,3452428,3510124,3524608
I,Обыкновенные расходы,41102,Департаментъ Государственныхъ Земельныхъ Имуществъ,24802884,26918743,27955905,21988411
I,Обыкновенные расходы,41103,Департаментъ Земледелiя,21879841,29054821,34927461,31804167
I,Обыкновенные расходы,41104,Отделъ Сельской Экономiи и Сельскохозяйственной Статистики,3002961,3660992,6181418,4083918
I,Обыкновенные расходы,41105,Отделъ Земельныхъ Улучшений,6596036,9798161,13503500,11627600
I,Обыкновенные расходы,41108,Отдел Сельскаго Строительства,0,0,0,6176600
I,Обыкновенные расходы,41106,Лесной Департаментъ,30004338,34549163,41212617,39498999
I,Обыкновенные расходы,41107,Переселенческое Управленiе,27119993,28068163,30229324,24792969
I,Обыкновенные расходы,41200,Главное управление Государственнаго Коннозаводства,2203879,2593450,4583470,3837800
I,Обыкновенные расходы,41300,Военное Министерство,492933426,545581753,621565110,590438770
I,Обыкновенные расходы,41301,Главное Интендантское Управленiе,346677103,361457998,380397335,359997432
I,Обыкновенные расходы,41302,Главное Артиллерiйское Управленiе,39830062,50018335,47570181,52620358
I,Обыкновенные расходы,41303,Главное Инженерное Управленiе,31122941,33237003,30870173,30115476
I,Обыкновенные расходы,41310,Главное Управленiе по Квартирному Довольствiю Войскъ,0,0,91628418,80315220
I,Обыкновенные расходы,41304,Главное управленiе Военно-Учебныхъ Заведенiй,13865094,15931620,20015319,20882399
I,Обыкновенные расходы,41305,Главное Управленiе Генеральнаго Штаба,38533315,61191130,20040871,14642852
I,Обыкновенные расходы,41306,Главный Штаб,16454750,16692709,17381540,11534863
I,Обыкновенные расходы,41307,Главнное Военно-Санитарное Управленiе,3839592,9662289,10493969,10763560
I,Обыкновенные расходы,41308,Главнное Военно-Судное Управленiе,1598987,1634006,1635609,1630515
I,Обыкновенные расходы,41309,Канцелярiя Военнаго Министерства,1011573,1075341,1531690,1894810
I,Обыкновенные расходы,41400,Морское Министерство,159145970,230374400,246111003,199863640
I,Обыкновенные расходы,41500,Государственный Контролъ,11034948,12094904,12918740,12972038
I,Обыкновенные расходы,41600,Платежи по государственнымъ займамъ,404521546,402907086,402107570,439706598
I,Обыкновенные расходы,20100,"На расходы непредусмотренные сметами, на экстренные в теченiе года надобности",10000000,10000000,10000000,10000000
II,Чрезвычайные расходы,40100,Министерство Финансовъ,2205742,1633100,1406300,1071176
